,episode_number,n,frequency,model,type,correct,pure_application
0,0,1,0,replication.pt,generalize,False,True
1,0,1,0,replication.pt,generalize,False,False
2,0,1,0,replication.pt,generalize,False,False
3,0,1,0,replication.pt,generalize,False,False
4,0,1,0,replication.pt,generalize,False,False
5,0,1,0,replication.pt,retrieval,False,False
6,0,1,0,replication.pt,retrieval,False,False
7,0,1,0,replication.pt,retrieval,False,False
8,0,1,0,replication.pt,retrieval,False,False
9,1,1,0,replication.pt,generalize,False,True
10,1,1,0,replication.pt,generalize,False,False
11,1,1,0,replication.pt,generalize,False,False
12,1,1,0,replication.pt,generalize,False,False
13,1,1,0,replication.pt,generalize,True,False
14,1,1,0,replication.pt,retrieval,False,False
15,1,1,0,replication.pt,retrieval,False,False
16,1,1,0,replication.pt,retrieval,False,False
17,1,1,0,replication.pt,retrieval,False,False
18,2,1,0,replication.pt,generalize,False,True
19,2,1,0,replication.pt,generalize,False,False
20,2,1,0,replication.pt,generalize,False,False
21,2,1,0,replication.pt,generalize,False,False
22,2,1,0,replication.pt,generalize,True,False
23,2,1,0,replication.pt,retrieval,False,False
24,2,1,0,replication.pt,retrieval,False,False
25,2,1,0,replication.pt,retrieval,False,False
26,2,1,0,replication.pt,retrieval,False,False
27,3,1,0,replication.pt,generalize,False,True
28,3,1,0,replication.pt,generalize,False,False
29,3,1,0,replication.pt,generalize,False,False
30,3,1,0,replication.pt,generalize,False,False
31,3,1,0,replication.pt,generalize,False,False
32,3,1,0,replication.pt,retrieval,False,False
33,3,1,0,replication.pt,retrieval,False,False
34,3,1,0,replication.pt,retrieval,False,False
35,3,1,0,replication.pt,retrieval,False,False
36,4,1,0,replication.pt,generalize,False,True
37,4,1,0,replication.pt,generalize,False,False
38,4,1,0,replication.pt,generalize,False,False
39,4,1,0,replication.pt,generalize,False,False
40,4,1,0,replication.pt,generalize,False,False
41,4,1,0,replication.pt,retrieval,False,False
42,4,1,0,replication.pt,retrieval,False,False
43,4,1,0,replication.pt,retrieval,False,False
44,4,1,0,replication.pt,retrieval,False,False
45,5,1,0,replication.pt,generalize,False,True
46,5,1,0,replication.pt,generalize,False,False
47,5,1,0,replication.pt,generalize,False,False
48,5,1,0,replication.pt,generalize,False,False
49,5,1,0,replication.pt,generalize,True,False
50,5,1,0,replication.pt,retrieval,False,False
51,5,1,0,replication.pt,retrieval,False,False
52,5,1,0,replication.pt,retrieval,False,False
53,5,1,0,replication.pt,retrieval,False,False
54,6,1,0,replication.pt,generalize,False,True
55,6,1,0,replication.pt,generalize,False,False
56,6,1,0,replication.pt,generalize,False,False
57,6,1,0,replication.pt,generalize,False,False
58,6,1,0,replication.pt,generalize,True,False
59,6,1,0,replication.pt,retrieval,False,False
60,6,1,0,replication.pt,retrieval,False,False
61,6,1,0,replication.pt,retrieval,False,False
62,6,1,0,replication.pt,retrieval,False,False
63,7,1,0,replication.pt,generalize,False,True
64,7,1,0,replication.pt,generalize,False,False
65,7,1,0,replication.pt,generalize,False,False
66,7,1,0,replication.pt,generalize,False,False
67,7,1,0,replication.pt,generalize,False,False
68,7,1,0,replication.pt,retrieval,False,False
69,7,1,0,replication.pt,retrieval,False,False
70,7,1,0,replication.pt,retrieval,False,False
71,7,1,0,replication.pt,retrieval,False,False
72,8,1,0,replication.pt,generalize,False,True
73,8,1,0,replication.pt,generalize,False,False
74,8,1,0,replication.pt,generalize,False,False
75,8,1,0,replication.pt,generalize,False,False
76,8,1,0,replication.pt,generalize,True,False
77,8,1,0,replication.pt,retrieval,False,False
78,8,1,0,replication.pt,retrieval,False,False
79,8,1,0,replication.pt,retrieval,False,False
80,8,1,0,replication.pt,retrieval,False,False
81,9,1,0,replication.pt,generalize,False,True
82,9,1,0,replication.pt,generalize,False,False
83,9,1,0,replication.pt,generalize,False,False
84,9,1,0,replication.pt,generalize,False,False
85,9,1,0,replication.pt,generalize,False,False
86,9,1,0,replication.pt,retrieval,False,False
87,9,1,0,replication.pt,retrieval,False,False
88,9,1,0,replication.pt,retrieval,False,False
89,9,1,0,replication.pt,retrieval,False,False
90,10,1,0,replication.pt,generalize,False,True
91,10,1,0,replication.pt,generalize,False,False
92,10,1,0,replication.pt,generalize,False,False
93,10,1,0,replication.pt,generalize,False,False
94,10,1,0,replication.pt,generalize,True,False
95,10,1,0,replication.pt,retrieval,False,False
96,10,1,0,replication.pt,retrieval,False,False
97,10,1,0,replication.pt,retrieval,False,False
98,10,1,0,replication.pt,retrieval,False,False
99,11,1,0,replication.pt,generalize,False,True
100,11,1,0,replication.pt,generalize,False,False
101,11,1,0,replication.pt,generalize,False,False
102,11,1,0,replication.pt,generalize,False,False
103,11,1,0,replication.pt,generalize,True,False
104,11,1,0,replication.pt,retrieval,False,False
105,11,1,0,replication.pt,retrieval,False,False
