,episode_number,n,frequency,type,correct
0,0,1,0,generalize,False
1,0,1,0,generalize,False
2,0,1,0,generalize,False
3,0,1,0,generalize,False
4,0,1,0,generalize,False
5,0,1,0,retrieval,False
6,0,1,0,retrieval,False
7,0,1,0,retrieval,False
8,0,1,0,retrieval,False
9,1,1,0,generalize,False
10,1,1,0,generalize,False
11,1,1,0,generalize,False
12,1,1,0,generalize,False
13,1,1,0,generalize,False
14,1,1,0,retrieval,False
15,1,1,0,retrieval,False
16,1,1,0,retrieval,False
17,1,1,0,retrieval,False
18,2,1,0,generalize,False
19,2,1,0,generalize,False
20,2,1,0,generalize,False
21,2,1,0,generalize,False
22,2,1,0,generalize,False
23,2,1,0,retrieval,False
24,2,1,0,retrieval,False
25,2,1,0,retrieval,False
26,2,1,0,retrieval,False
27,3,1,0,generalize,False
28,3,1,0,generalize,False
29,3,1,0,generalize,False
30,3,1,0,generalize,False
31,3,1,0,generalize,False
32,3,1,0,retrieval,False
33,3,1,0,retrieval,False
34,3,1,0,retrieval,False
35,3,1,0,retrieval,False
36,4,1,0,generalize,False
37,4,1,0,generalize,False
38,4,1,0,generalize,False
39,4,1,0,generalize,False
40,4,1,0,generalize,False
41,4,1,0,retrieval,False
42,4,1,0,retrieval,False
43,4,1,0,retrieval,False
44,4,1,0,retrieval,False
45,5,1,0,generalize,False
46,5,1,0,generalize,False
47,5,1,0,generalize,False
48,5,1,0,generalize,False
49,5,1,0,generalize,False
50,5,1,0,retrieval,False
51,5,1,0,retrieval,False
52,5,1,0,retrieval,False
53,5,1,0,retrieval,False
54,6,1,0,generalize,False
55,6,1,0,generalize,False
56,6,1,0,generalize,False
57,6,1,0,generalize,False
58,6,1,0,generalize,False
59,6,1,0,retrieval,False
60,6,1,0,retrieval,False
61,6,1,0,retrieval,False
62,6,1,0,retrieval,False
63,7,1,0,generalize,False
64,7,1,0,generalize,False
65,7,1,0,generalize,False
66,7,1,0,generalize,False
67,7,1,0,generalize,False
68,7,1,0,retrieval,False
69,7,1,0,retrieval,False
70,7,1,0,retrieval,False
